START,END,UTC,READABLE_START,READABLE_END,STEP,RUN,WALK,SPEED,DUT,DIST,CAL,DEVICE_UUID,DEVICE_TYPE
1626208980000,1626209039999,UTC+0900,2021-07-14 05:43:00,2021-07-14 05:43:59.999,20,0,20,1.6944444,9277,15.72,0.91,GPAG8DwJO3,WEARABLE
1626209040000,1626209099999,UTC+0900,2021-07-14 05:44:00,2021-07-14 05:44:59.999,20,0,20,1.5333372,10160,15.58,0.89,GPAG8DwJO3,WEARABLE
1626209100000,1626209159999,UTC+0900,2021-07-14 05:45:00,2021-07-14 05:45:59.999,10,0,10,1.5277778,5072,7.75,0.43,GPAG8DwJO3,WEARABLE
1626209160000,1626209219999,UTC+0900,2021-07-14 05:46:00,2021-07-14 05:46:59.999,39,0,39,1.1666666,24308,28.36,1.7,GPAG8DwJO3,WEARABLE
1626209280000,1626209339999,UTC+0900,2021-07-14 05:48:00,2021-07-14 05:48:59.999,46,0,46,1.2777778,26749,34.18,1.97,GPAG8DwJO3,WEARABLE
1626209280000,1626209340000,UTC+0900,2021-07-14 05:48:00,2021-07-14 05:49:00.000,33,0,33,1.3129733,19086,25.060005,1.3399999,adlav1DQ9p,PHONE
1626209340000,1626209399999,UTC+0900,2021-07-14 05:49:00,2021-07-14 05:49:59.999,102,0,102,1.2583333,60000,75.5,4.08,GPAG8DwJO3,WEARABLE
1626209340000,1626209400000,UTC+0900,2021-07-14 05:49:00,2021-07-14 05:50:00.000,98,0,98,1.2890329,57492,74.10998,3.9299974,adlav1DQ9p,PHONE
1626209400000,1626209459999,UTC+0900,2021-07-14 05:50:00,2021-07-14 05:50:59.999,100,0,100,1.3333334,54000,72.0,4.13,GPAG8DwJO3,WEARABLE
1626209400000,1626209460000,UTC+0900,2021-07-14 05:50:00,2021-07-14 05:51:00.000,94,0,82,1.161015,58448,67.860054,3.7699976,adlav1DQ9p,PHONE
1626209460000,1626209519999,UTC+0900,2021-07-14 05:51:00,2021-07-14 05:51:59.999,92,0,92,1.25,47864,59.83,3.71,GPAG8DwJO3,WEARABLE
1626209460000,1626209520000,UTC+0900,2021-07-14 05:51:00,2021-07-14 05:52:00.000,84,0,56,1.1328878,49192,55.730026,3.589998,adlav1DQ9p,PHONE
1626209520000,1626209580000,UTC+0900,2021-07-14 05:52:00,2021-07-14 05:53:00.000,80,0,80,0.9632544,59413,57.22997,3.9999974,adlav1DQ9p,PHONE
1626209520000,1626209579999,UTC+0900,2021-07-14 05:52:00,2021-07-14 05:52:59.999,82,0,82,0.9722222,59523,57.87,3.47,GPAG8DwJO3,WEARABLE
1626209580000,1626209639999,UTC+0900,2021-07-14 05:53:00,2021-07-14 05:53:59.999,89,0,86,1.0277778,59798,61.46,3.88,GPAG8DwJO3,WEARABLE
1626209580000,1626209640000,UTC+0900,2021-07-14 05:53:00,2021-07-14 05:54:00.000,87,0,68,1.0430678,58232,60.74001,4.3499975,adlav1DQ9p,PHONE
1626209640000,1626209699999,UTC+0900,2021-07-14 05:54:00,2021-07-14 05:54:59.999,111,0,114,1.4444444,41420,59.83,6.47,GPAG8DwJO3,WEARABLE
1626209640000,1626209700000,UTC+0900,2021-07-14 05:54:00,2021-07-14 05:55:00.000,88,0,32,1.1525843,42773,49.299995,8.120001,adlav1DQ9p,PHONE
