START,END,UTC,READABLE_START,READABLE_END,STEP,RUN,WALK,SPEED,DUT,DIST,CAL,DEVICE_UUID,DEVICE_TYPE
1626303420000,1626303480000,UTC+0900,2021-07-15 07:57:00,2021-07-15 07:58:00.000,12,0,12,1.0174036,8580,8.73,0.77,iFRqmL+Cl4,PHONE
1626305700000,1626305760000,UTC+0900,2021-07-15 08:35:00,2021-07-15 08:36:00.000,9,0,9,1.3326443,5177,6.8999996,0.56,iFRqmL+Cl4,PHONE
1626305760000,1626305820000,UTC+0900,2021-07-15 08:36:00,2021-07-15 08:37:00.000,9,0,9,1.4473917,4863,7.0399995,0.55,iFRqmL+Cl4,PHONE
1626306000000,1626306060000,UTC+0900,2021-07-15 08:40:00,2021-07-15 08:41:00.000,26,0,26,1.1698642,16531,19.34,1.6099998,iFRqmL+Cl4,PHONE
1626306360000,1626306419999,UTC+0900,2021-07-15 08:46:00,2021-07-15 08:46:59.999,16,0,16,1.0589128,10708,11.339,1.021,iWQFQbCoW5,WEARABLE
1626306420000,1626306479999,UTC+0900,2021-07-15 08:47:00,2021-07-15 08:47:59.999,14,0,14,1.4444444,8702,12.57,1.33,iWQFQbCoW5,WEARABLE
1626306480000,1626306539999,UTC+0900,2021-07-15 08:48:00,2021-07-15 08:48:59.999,25,0,25,1.3706359,13923,19.084,1.5,iWQFQbCoW5,WEARABLE
1626306540000,1626306600000,UTC+0900,2021-07-15 08:49:00,2021-07-15 08:50:00.000,12,0,12,1.0833334,8067,8.74,0.76,iFRqmL+Cl4,PHONE
1626306540000,1626306599999,UTC+0900,2021-07-15 08:49:00,2021-07-15 08:49:59.999,49,0,49,1.2143054,29596,35.939,3.131,iWQFQbCoW5,WEARABLE
1626306600000,1626306659999,UTC+0900,2021-07-15 08:50:00,2021-07-15 08:50:59.999,81,0,81,1.3333334,45277,60.37,4.95,iWQFQbCoW5,WEARABLE
1626306600000,1626306660000,UTC+0900,2021-07-15 08:50:00,2021-07-15 08:51:00.000,71,0,50,1.2171558,38844,47.279972,4.3699975,iFRqmL+Cl4,PHONE
1626306660000,1626306720000,UTC+0900,2021-07-15 08:51:00,2021-07-15 08:52:00.000,83,0,83,1.3766274,46098,63.460026,5.009997,iFRqmL+Cl4,PHONE
1626306660000,1626306719999,UTC+0900,2021-07-15 08:51:00,2021-07-15 08:51:59.999,81,0,81,1.3888888,44863,62.31,4.95,iWQFQbCoW5,WEARABLE
1626306720000,1626306780000,UTC+0900,2021-07-15 08:52:00,2021-07-15 08:53:00.000,111,0,111,1.4244989,60000,85.46994,6.6599946,iFRqmL+Cl4,PHONE
1626306720000,1626306779999,UTC+0900,2021-07-15 08:52:00,2021-07-15 08:52:59.999,106,0,106,1.4166666,58051,82.24,6.37,iWQFQbCoW5,WEARABLE
1626306780000,1626306840000,UTC+0900,2021-07-15 08:53:00,2021-07-15 08:54:00.000,111,0,111,1.4270067,59915,85.49993,6.6599946,iFRqmL+Cl4,PHONE
1626306780000,1626306839999,UTC+0900,2021-07-15 08:53:00,2021-07-15 08:53:59.999,116,0,116,1.4921666,60000,89.53,7.07,iWQFQbCoW5,WEARABLE
1626306840000,1626306899999,UTC+0900,2021-07-15 08:54:00,2021-07-15 08:54:59.999,103,0,103,1.4444444,55301,79.88,6.2,iWQFQbCoW5,WEARABLE
1626306840000,1626306900000,UTC+0900,2021-07-15 08:54:00,2021-07-15 08:55:00.000,113,0,113,1.4929999,60000,89.579994,7.2599998,iFRqmL+Cl4,PHONE
1626306900000,1626306960000,UTC+0900,2021-07-15 08:55:00,2021-07-15 08:56:00.000,115,0,115,1.5151666,60000,90.91,7.31,iFRqmL+Cl4,PHONE
1626306900000,1626306959999,UTC+0900,2021-07-15 08:55:00,2021-07-15 08:55:59.999,117,0,117,1.4015888,60000,90.33,7.1,iWQFQbCoW5,WEARABLE
1626306960000,1626307019999,UTC+0900,2021-07-15 08:56:00,2021-07-15 08:56:59.999,119,0,119,1.5493333,60000,92.96,7.18,iWQFQbCoW5,WEARABLE
1626306960000,1626307020000,UTC+0900,2021-07-15 08:56:00,2021-07-15 08:57:00.000,109,0,109,1.4166665,59463,84.24,6.54,iFRqmL+Cl4,PHONE
1626307020000,1626307079999,UTC+0900,2021-07-15 08:57:00,2021-07-15 08:57:59.999,112,0,112,1.447,60000,86.82,6.73,iWQFQbCoW5,WEARABLE
1626307020000,1626307080000,UTC+0900,2021-07-15 08:57:00,2021-07-15 08:58:00.000,112,0,105,1.4384013,59913,86.17992,6.719995,iFRqmL+Cl4,PHONE
1626307080000,1626307139999,UTC+0900,2021-07-15 08:58:00,2021-07-15 08:58:59.999,113,0,113,1.4641666,60000,87.85,6.83,iWQFQbCoW5,WEARABLE
1626307080000,1626307140000,UTC+0900,2021-07-15 08:58:00,2021-07-15 08:59:00.000,112,0,112,1.4374989,60000,86.24993,6.7199945,iFRqmL+Cl4,PHONE
1626307140000,1626307200000,UTC+0900,2021-07-15 08:59:00,2021-07-15 09:00:00.000,88,0,88,1.4443923,47154,68.11,5.279996,iFRqmL+Cl4,PHONE
1626307140000,1626307199999,UTC+0900,2021-07-15 08:59:00,2021-07-15 08:59:59.999,66,0,66,1.4183143,35972,51.02,4.0,iWQFQbCoW5,WEARABLE
1626307200000,1626307260000,UTC+0900,2021-07-15 09:00:00,2021-07-15 09:01:00.000,94,0,58,1.3919976,43620,60.72,9.8499975,iFRqmL+Cl4,PHONE
