START,END,UTC,READABLE_START,READABLE_END,STEP,RUN,WALK,SPEED,DUT,DIST,CAL,DEVICE_UUID,DEVICE_TYPE
1635089940000,1635089999000,UTC+0900,2021-10-25 00:39:00,2021-10-25 00:39:59,7,0,7,0.09182943,,5.5097656,0.22497559,0rbJQajGFM,WEARABLE
1635090000000,1635090059000,UTC+0900,2021-10-25 00:40:00,2021-10-25 00:40:59,11,0,11,0.14192708,,8.515625,0.35479736,0rbJQajGFM,WEARABLE
1635093120000,1635093179000,UTC+0900,2021-10-25 01:32:00,2021-10-25 01:32:59,13,0,13,0.16632487,,9.979492,0.42034912,0rbJQajGFM,WEARABLE
1635093180000,1635093239000,UTC+0900,2021-10-25 01:33:00,2021-10-25 01:33:59,35,0,35,0.44956055,,26.973633,1.1237183,0rbJQajGFM,WEARABLE
1635093240000,1635093299000,UTC+0900,2021-10-25 01:34:00,2021-10-25 01:34:59,17,0,17,0.20919596,,12.551758,0.56085205,0rbJQajGFM,WEARABLE
1635093300000,1635093359000,UTC+0900,2021-10-25 01:35:00,2021-10-25 01:35:59,26,0,26,0.3335612,,20.013672,0.8366089,0rbJQajGFM,WEARABLE
1635093420000,1635093479000,UTC+0900,2021-10-25 01:37:00,2021-10-25 01:37:59,34,0,34,0.43230793,,25.938477,1.0974121,0rbJQajGFM,WEARABLE
1635093780000,1635093839000,UTC+0900,2021-10-25 01:43:00,2021-10-25 01:43:59,27,27,0,0.5109538,,30.657227,1.9122314,0rbJQajGFM,WEARABLE
1635094260000,1635094319000,UTC+0900,2021-10-25 01:51:00,2021-10-25 01:51:59,26,0,26,0.34264323,,20.558594,0.8190918,0rbJQajGFM,WEARABLE
1635094320000,1635094379000,UTC+0900,2021-10-25 01:52:00,2021-10-25 01:52:59,18,0,18,0.23068033,,13.84082,0.579834,0rbJQajGFM,WEARABLE
1635097560000,1635097619000,UTC+0900,2021-10-25 02:46:00,2021-10-25 02:46:59,7,0,7,0.089501955,,5.370117,0.22607422,0rbJQajGFM,WEARABLE
1635107940000,1635107999000,UTC+0900,2021-10-25 05:39:00,2021-10-25 05:39:59,6,0,6,0.072770186,,4.366211,0.19830322,0rbJQajGFM,WEARABLE
1635108300000,1635108359000,UTC+0900,2021-10-25 05:45:00,2021-10-25 05:45:59,3,0,3,0.040478516,,2.428711,0.09222412,0rbJQajGFM,WEARABLE
1635120540000,1635120599000,UTC+0900,2021-10-25 09:09:00,2021-10-25 09:09:59,30,0,30,0.38300782,,22.980469,0.9696045,0rbJQajGFM,WEARABLE
1635120600000,1635120659000,UTC+0900,2021-10-25 09:10:00,2021-10-25 09:10:59,21,0,21,0.26559246,,15.935547,0.6791382,0rbJQajGFM,WEARABLE
1635121260000,1635121319000,UTC+0900,2021-10-25 09:21:00,2021-10-25 09:21:59,6,0,6,0.073209636,,4.392578,0.19830322,0rbJQajGFM,WEARABLE
1635129180000,1635129239000,UTC+0900,2021-10-25 11:33:00,2021-10-25 11:33:59,8,0,8,0.102653,,6.1591797,0.25823975,0rbJQajGFM,WEARABLE
1635129540000,1635129599000,UTC+0900,2021-10-25 11:39:00,2021-10-25 11:39:59,6,0,6,0.07845052,,4.7070312,0.19085693,0rbJQajGFM,WEARABLE
1635129660000,1635129719000,UTC+0900,2021-10-25 11:41:00,2021-10-25 11:41:59,15,0,15,0.18382162,,11.029297,0.49517822,0rbJQajGFM,WEARABLE
1635129900000,1635129960000,UTC+0900,2021-10-25 11:45:00,2021-10-25 11:46:00,61,0,61,1.5555556,29732.0,46.25,1.9,neHA12BZrW,PHONE
1635129900000,1635129959000,UTC+0900,2021-10-25 11:45:00,2021-10-25 11:45:59,20,0,20,0.25642905,,15.385742,0.64556885,0rbJQajGFM,WEARABLE
1635129960000,1635130020000,UTC+0900,2021-10-25 11:46:00,2021-10-25 11:47:00,34,0,34,1.4444444,17736.0,25.62,1.04,neHA12BZrW,PHONE
1635129960000,1635130019000,UTC+0900,2021-10-25 11:46:00,2021-10-25 11:46:59,22,0,22,0.2857422,,17.144531,0.7057495,0rbJQajGFM,WEARABLE
1635130020000,1635130079000,UTC+0900,2021-10-25 11:47:00,2021-10-25 11:47:59,26,0,26,0.33129883,,19.87793,0.8390503,0rbJQajGFM,WEARABLE
1635130020000,1635130080000,UTC+0900,2021-10-25 11:47:00,2021-10-25 11:48:00,32,0,32,1.4166666,16976.0,24.05,0.98,neHA12BZrW,PHONE
1635130080000,1635130140000,UTC+0900,2021-10-25 11:48:00,2021-10-25 11:49:00,125,0,125,1.6238333,60000.0,97.43,3.75,neHA12BZrW,PHONE
