START,END,UTC,READABLE_START,READABLE_END,STEP,RUN,WALK,SPEED,DUT,DIST,CAL,DEVICE_UUID,DEVICE_TYPE
1626103440000,1626103500000,UTC+0900,2021-07-13 00:24:00,2021-07-13 00:25:00.000,17,0,17,1.1944444,10381,12.4,0.62,Fareq3X5pj,PHONE
1626103860000,1626103920000,UTC+0900,2021-07-13 00:31:00,2021-07-13 00:32:00.000,23,0,22,1.0529543,15898,16.739998,0.9,Fareq3X5pj,PHONE
1626104160000,1626104220000,UTC+0900,2021-07-13 00:36:00,2021-07-13 00:37:00.000,0,0,1,0.0,0,0.0,0.0,Fareq3X5pj,PHONE
1626104820000,1626104880000,UTC+0900,2021-07-13 00:47:00,2021-07-13 00:48:00.000,39,0,39,1.5555556,19941,31.02,1.39,Fareq3X5pj,PHONE
1626104880000,1626104940000,UTC+0900,2021-07-13 00:48:00,2021-07-13 00:49:00.000,9,0,9,1.4182194,4830,6.85,0.32,Fareq3X5pj,PHONE
1626104940000,1626105000000,UTC+0900,2021-07-13 00:49:00,2021-07-13 00:50:00.000,18,0,14,1.245094,10657,13.2699995,0.69000006,Fareq3X5pj,PHONE
1626105000000,1626105060000,UTC+0900,2021-07-13 00:50:00,2021-07-13 00:51:00.000,55,0,59,1.1935943,34157,40.770004,2.1599998,Fareq3X5pj,PHONE
1626106020000,1626106080000,UTC+0900,2021-07-13 01:07:00,2021-07-13 01:08:00.000,18,0,18,1.2067199,11029,13.3099985,0.68,Fareq3X5pj,PHONE
1626106080000,1626106140000,UTC+0900,2021-07-13 01:08:00,2021-07-13 01:09:00.000,22,0,22,1.1391244,13975,15.919998,0.79000014,Fareq3X5pj,PHONE
1626106140000,1626106200000,UTC+0900,2021-07-13 01:09:00,2021-07-13 01:10:00.000,41,0,41,1.3055556,23262,30.37,1.48,Fareq3X5pj,PHONE
1626106200000,1626106260000,UTC+0900,2021-07-13 01:10:00,2021-07-13 01:11:00.000,44,0,44,1.2777778,25818,32.99,1.6,Fareq3X5pj,PHONE
1626106260000,1626106320000,UTC+0900,2021-07-13 01:11:00,2021-07-13 01:12:00.000,76,0,76,1.2731019,44890,57.15,2.9199998,Fareq3X5pj,PHONE
1626106320000,1626106380000,UTC+0900,2021-07-13 01:12:00,2021-07-13 01:13:00.000,90,0,90,1.3333334,51082,68.11,3.31,Fareq3X5pj,PHONE
1626106380000,1626106440000,UTC+0900,2021-07-13 01:13:00,2021-07-13 01:14:00.000,34,0,34,1.4722222,17748,26.13,1.07,Fareq3X5pj,PHONE
1626106440000,1626106500000,UTC+0900,2021-07-13 01:14:00,2021-07-13 01:15:00.000,25,0,25,1.3888888,13658,18.97,0.87,Fareq3X5pj,PHONE
1626106500000,1626106560000,UTC+0900,2021-07-13 01:15:00,2021-07-13 01:16:00.000,77,0,77,1.348267,43173,58.210003,2.7599998,Fareq3X5pj,PHONE
