START,END,UTC,READABLE_START,READABLE_END,STEP,RUN,WALK,SPEED,DUT,DIST,CAL,DEVICE_UUID,DEVICE_TYPE
1635985500000,1635985559999,UTC+0900,2021-11-04 09:25:00,2021-11-04 09:25:59.999,156,82,74,2.6666667,56062,149.5,9.21,eyBgT68yQ9,WEARABLE
1635985560000,1635985619999,UTC+0900,2021-11-04 09:26:00,2021-11-04 09:26:59.999,152,118,34,2.7521832,53638,147.622,10.081,eyBgT68yQ9,WEARABLE
1635985620000,1635985679999,UTC+0900,2021-11-04 09:27:00,2021-11-04 09:27:59.999,122,34,88,1.9541789,53680,104.901,5.67,eyBgT68yQ9,WEARABLE
1635985680000,1635985739999,UTC+0900,2021-11-04 09:28:00,2021-11-04 09:28:59.999,150,115,32,2.680414,54351,145.684,9.98,eyBgT68yQ9,WEARABLE
1635985740000,1635985799999,UTC+0900,2021-11-04 09:29:00,2021-11-04 09:29:59.999,72,0,75,1.3048329,39670,51.764,2.66,eyBgT68yQ9,WEARABLE
1635985800000,1635985859999,UTC+0900,2021-11-04 09:30:00,2021-11-04 09:30:59.999,27,0,27,1.5555556,13770,21.42,0.91,eyBgT68yQ9,WEARABLE
1635986160000,1635986219999,UTC+0900,2021-11-04 09:36:00,2021-11-04 09:36:59.999,14,0,14,1.6944444,6692,11.34,0.6,eyBgT68yQ9,WEARABLE
1635987480000,1635987539999,UTC+0900,2021-11-04 09:58:00,2021-11-04 09:58:59.999,57,0,57,1.5277778,27346,41.78,1.94,eyBgT68yQ9,WEARABLE
1635987540000,1635987599999,UTC+0900,2021-11-04 09:59:00,2021-11-04 09:59:59.999,17,0,17,1.6944444,5335,9.04,0.61,eyBgT68yQ9,WEARABLE
1635987960000,1635988019999,UTC+0900,2021-11-04 10:06:00,2021-11-04 10:06:59.999,51,1,50,1.7418033,21396,37.268,2.48,eyBgT68yQ9,WEARABLE
1635988020000,1635988079999,UTC+0900,2021-11-04 10:07:00,2021-11-04 10:07:59.999,29,0,29,1.3242937,16389,21.704,0.96,eyBgT68yQ9,WEARABLE
1635988740000,1635988799999,UTC+0900,2021-11-04 10:19:00,2021-11-04 10:19:59.999,27,0,27,1.4166666,13362,18.93,0.91,eyBgT68yQ9,WEARABLE
1635988800000,1635988859999,UTC+0900,2021-11-04 10:20:00,2021-11-04 10:20:59.999,83,0,83,1.1737366,47242,55.45,3.0,eyBgT68yQ9,WEARABLE
1635988860000,1635988919999,UTC+0900,2021-11-04 10:21:00,2021-11-04 10:21:59.999,44,0,43,1.1388888,27755,31.61,1.55,eyBgT68yQ9,WEARABLE
1635988920000,1635988979999,UTC+0900,2021-11-04 10:22:00,2021-11-04 10:22:59.999,9,0,9,0.9166667,6647,6.094,0.38,eyBgT68yQ9,WEARABLE
1635989100000,1635989159999,UTC+0900,2021-11-04 10:25:00,2021-11-04 10:25:59.999,54,0,54,1.1111112,33165,36.85,2.32,eyBgT68yQ9,WEARABLE
1635989160000,1635989219999,UTC+0900,2021-11-04 10:26:00,2021-11-04 10:26:59.999,30,0,30,1.0555556,14399,15.2,2.13,eyBgT68yQ9,WEARABLE
1635993960000,1635994019999,UTC+0900,2021-11-04 11:46:00,2021-11-04 11:46:59.999,80,0,80,1.4722222,33724,49.65,2.76,eyBgT68yQ9,WEARABLE
1635994020000,1635994079999,UTC+0900,2021-11-04 11:47:00,2021-11-04 11:47:59.999,14,3,11,2.1666667,5723,12.4,0.69,eyBgT68yQ9,WEARABLE
1635994260000,1635994319999,UTC+0900,2021-11-04 11:51:00,2021-11-04 11:51:59.999,11,0,11,0.8888889,8471,7.53,0.61,eyBgT68yQ9,WEARABLE
1635994320000,1635994379999,UTC+0900,2021-11-04 11:52:00,2021-11-04 11:52:59.999,48,0,48,1.4166666,19800,28.05,3.48,eyBgT68yQ9,WEARABLE
1635994380000,1635994439999,UTC+0900,2021-11-04 11:53:00,2021-11-04 11:53:59.999,11,0,11,1.4444444,5870,8.48,0.38,eyBgT68yQ9,WEARABLE
1635995520000,1635995579999,UTC+0900,2021-11-04 12:12:00,2021-11-04 12:12:59.999,71,0,71,1.2777778,41282,52.75,2.41,eyBgT68yQ9,WEARABLE
1635995940000,1635995999999,UTC+0900,2021-11-04 12:19:00,2021-11-04 12:19:59.999,21,0,21,1.1388888,13205,15.04,0.73,eyBgT68yQ9,WEARABLE
1635996000000,1635996059999,UTC+0900,2021-11-04 12:20:00,2021-11-04 12:20:59.999,10,0,10,1.1388888,6321,7.2,0.36,eyBgT68yQ9,WEARABLE
1635998520000,1635998579999,UTC+0900,2021-11-04 13:02:00,2021-11-04 13:02:59.999,12,0,12,1.3611112,6656,9.06,0.41,eyBgT68yQ9,WEARABLE
1635999000000,1635999059999,UTC+0900,2021-11-04 13:10:00,2021-11-04 13:10:59.999,14,0,14,1.1388888,8920,10.16,0.53,eyBgT68yQ9,WEARABLE
1635999060000,1635999119999,UTC+0900,2021-11-04 13:11:00,2021-11-04 13:11:59.999,37,0,37,1.1666666,22482,26.23,1.38,eyBgT68yQ9,WEARABLE
1635999360000,1635999419999,UTC+0900,2021-11-04 13:16:00,2021-11-04 13:16:59.999,26,0,26,1.1111112,16803,18.67,0.92,eyBgT68yQ9,WEARABLE
1635999420000,1635999479999,UTC+0900,2021-11-04 13:17:00,2021-11-04 13:17:59.999,4,0,4,1.0833334,2667,2.89,0.12,eyBgT68yQ9,WEARABLE
1636000620000,1636000679999,UTC+0900,2021-11-04 13:37:00,2021-11-04 13:37:59.999,29,0,29,1.1388888,18439,21.0,1.07,eyBgT68yQ9,WEARABLE
1636000680000,1636000739999,UTC+0900,2021-11-04 13:38:00,2021-11-04 13:38:59.999,64,0,64,1.1666666,40028,46.7,2.35,eyBgT68yQ9,WEARABLE
1636000740000,1636000799999,UTC+0900,2021-11-04 13:39:00,2021-11-04 13:39:59.999,28,0,28,1.1388888,17991,20.49,1.08,eyBgT68yQ9,WEARABLE
1636001460000,1636001519999,UTC+0900,2021-11-04 13:51:00,2021-11-04 13:51:59.999,45,0,44,1.4722222,23257,34.24,1.61,eyBgT68yQ9,WEARABLE
1636001520000,1636001579999,UTC+0900,2021-11-04 13:52:00,2021-11-04 13:52:59.999,37,0,38,1.2222222,17836,21.8,1.28,eyBgT68yQ9,WEARABLE
1636001700000,1636001759999,UTC+0900,2021-11-04 13:55:00,2021-11-04 13:55:59.999,28,0,28,1.1388888,18000,20.5,1.03,eyBgT68yQ9,WEARABLE
1636001760000,1636001819999,UTC+0900,2021-11-04 13:56:00,2021-11-04 13:56:59.999,34,0,34,1.0555556,22717,23.98,1.15,eyBgT68yQ9,WEARABLE
1636001880000,1636001939999,UTC+0900,2021-11-04 13:58:00,2021-11-04 13:58:59.999,7,0,7,1.0833334,4607,4.992,0.26,eyBgT68yQ9,WEARABLE
1636005900000,1636005959999,UTC+0900,2021-11-04 15:05:00,2021-11-04 15:05:59.999,48,0,48,1.3231012,27082,35.833,1.66,eyBgT68yQ9,WEARABLE
1636008360000,1636008419999,UTC+0900,2021-11-04 15:46:00,2021-11-04 15:46:59.999,12,0,12,1.6154953,5953,9.618,0.38,eyBgT68yQ9,WEARABLE
1636008420000,1636008479999,UTC+0900,2021-11-04 15:47:00,2021-11-04 15:47:59.999,26,0,26,1.3333334,14587,19.45,0.93,eyBgT68yQ9,WEARABLE
1636009200000,1636009259999,UTC+0900,2021-11-04 16:00:00,2021-11-04 16:00:59.999,16,0,16,1.6666666,7650,12.75,0.53,eyBgT68yQ9,WEARABLE
1636009260000,1636009319999,UTC+0900,2021-11-04 16:01:00,2021-11-04 16:01:59.999,11,0,11,1.6111112,5350,8.62,0.44,eyBgT68yQ9,WEARABLE
1636012440000,1636012499999,UTC+0900,2021-11-04 16:54:00,2021-11-04 16:54:59.999,21,0,21,1.1944444,12926,15.44,0.8,eyBgT68yQ9,WEARABLE
1636012620000,1636012679999,UTC+0900,2021-11-04 16:57:00,2021-11-04 16:57:59.999,20,2,18,2.3333333,7709,17.99,1.08,eyBgT68yQ9,WEARABLE
1636012740000,1636012799999,UTC+0900,2021-11-04 16:59:00,2021-11-04 16:59:59.999,56,0,56,1.3888888,31032,43.1,2.1,eyBgT68yQ9,WEARABLE
1636012800000,1636012859999,UTC+0900,2021-11-04 17:00:00,2021-11-04 17:00:59.999,15,0,15,1.1388888,9500,10.82,0.52,eyBgT68yQ9,WEARABLE
1636013220000,1636013279999,UTC+0900,2021-11-04 17:07:00,2021-11-04 17:07:59.999,64,0,64,1.25,37248,46.56,2.4,eyBgT68yQ9,WEARABLE
1636013280000,1636013339999,UTC+0900,2021-11-04 17:08:00,2021-11-04 17:08:59.999,17,0,17,1.1388888,10914,12.43,0.63,eyBgT68yQ9,WEARABLE
1636013460000,1636013519999,UTC+0900,2021-11-04 17:11:00,2021-11-04 17:11:59.999,11,1,10,2.5277777,3987,10.08,0.62,eyBgT68yQ9,WEARABLE
1636017540000,1636017599999,UTC+0900,2021-11-04 18:19:00,2021-11-04 18:19:59.999,15,5,10,2.9444444,5084,14.97,0.87,eyBgT68yQ9,WEARABLE
1636017600000,1636017659999,UTC+0900,2021-11-04 18:20:00,2021-11-04 18:20:59.999,29,0,29,1.2777778,16935,21.64,1.28,eyBgT68yQ9,WEARABLE
1636017660000,1636017719999,UTC+0900,2021-11-04 18:21:00,2021-11-04 18:21:59.999,58,0,58,1.0277778,36136,37.14,2.96,eyBgT68yQ9,WEARABLE
1636017780000,1636017839999,UTC+0900,2021-11-04 18:23:00,2021-11-04 18:23:59.999,20,0,20,1.0598664,13520,14.33,0.72,eyBgT68yQ9,WEARABLE
1636017840000,1636017899999,UTC+0900,2021-11-04 18:24:00,2021-11-04 18:24:59.999,61,0,61,1.0555556,41324,43.62,2.23,eyBgT68yQ9,WEARABLE
1636017900000,1636017959999,UTC+0900,2021-11-04 18:25:00,2021-11-04 18:25:59.999,102,0,102,1.243,60000,74.58,3.42,eyBgT68yQ9,WEARABLE
1636017960000,1636018019999,UTC+0900,2021-11-04 18:26:00,2021-11-04 18:26:59.999,111,0,111,1.3611112,56182,76.47,3.83,eyBgT68yQ9,WEARABLE
1636018020000,1636018079999,UTC+0900,2021-11-04 18:27:00,2021-11-04 18:27:59.999,108,0,108,1.3693334,60000,82.16,4.26,eyBgT68yQ9,WEARABLE
1636018080000,1636018139999,UTC+0900,2021-11-04 18:28:00,2021-11-04 18:28:59.999,110,0,110,1.395,60000,83.7,4.0,eyBgT68yQ9,WEARABLE
1636018140000,1636018199999,UTC+0900,2021-11-04 18:29:00,2021-11-04 18:29:59.999,104,0,104,1.2803333,60000,76.82,3.63,eyBgT68yQ9,WEARABLE
1636018200000,1636018259999,UTC+0900,2021-11-04 18:30:00,2021-11-04 18:30:59.999,105,0,105,1.2921667,60000,77.53,3.48,eyBgT68yQ9,WEARABLE
1636018260000,1636018319999,UTC+0900,2021-11-04 18:31:00,2021-11-04 18:31:59.999,73,0,73,1.25,42839,53.55,2.64,eyBgT68yQ9,WEARABLE
1636018320000,1636018379999,UTC+0900,2021-11-04 18:32:00,2021-11-04 18:32:59.999,54,0,54,1.0833334,35603,38.57,2.04,eyBgT68yQ9,WEARABLE
1636018440000,1636018499999,UTC+0900,2021-11-04 18:34:00,2021-11-04 18:34:59.999,18,0,18,1.1111112,11726,13.03,0.64,eyBgT68yQ9,WEARABLE
1636018500000,1636018559999,UTC+0900,2021-11-04 18:35:00,2021-11-04 18:35:59.999,74,0,74,1.1666666,46097,53.78,2.74,eyBgT68yQ9,WEARABLE
1636018560000,1636018619999,UTC+0900,2021-11-04 18:36:00,2021-11-04 18:36:59.999,38,0,38,1.0555556,25636,27.061,1.38,eyBgT68yQ9,WEARABLE
1636018620000,1636018679999,UTC+0900,2021-11-04 18:37:00,2021-11-04 18:37:59.999,33,0,33,1.1111112,21168,23.52,1.24,eyBgT68yQ9,WEARABLE
1636018680000,1636018739999,UTC+0900,2021-11-04 18:38:00,2021-11-04 18:38:59.999,11,1,10,2.1111112,4428,9.35,0.43,eyBgT68yQ9,WEARABLE
1636020480000,1636020539999,UTC+0900,2021-11-04 19:08:00,2021-11-04 19:08:59.999,22,0,22,1.0277778,15090,15.51,0.82,eyBgT68yQ9,WEARABLE
1636020540000,1636020599999,UTC+0900,2021-11-04 19:09:00,2021-11-04 19:09:59.999,95,0,95,1.1666666,59005,68.84,3.39,eyBgT68yQ9,WEARABLE
1636020600000,1636020659999,UTC+0900,2021-11-04 19:10:00,2021-11-04 19:10:59.999,100,0,100,1.2096666,60000,72.58,3.69,eyBgT68yQ9,WEARABLE
1636020660000,1636020719999,UTC+0900,2021-11-04 19:11:00,2021-11-04 19:11:59.999,103,0,103,1.2648333,60000,75.89,3.76,eyBgT68yQ9,WEARABLE
1636020720000,1636020779999,UTC+0900,2021-11-04 19:12:00,2021-11-04 19:12:59.999,103,0,103,1.2603333,60000,75.62,3.46,eyBgT68yQ9,WEARABLE
1636020780000,1636020839999,UTC+0900,2021-11-04 19:13:00,2021-11-04 19:13:59.999,106,0,106,1.3095,60000,78.57,3.62,eyBgT68yQ9,WEARABLE
1636020840000,1636020899999,UTC+0900,2021-11-04 19:14:00,2021-11-04 19:14:59.999,99,0,99,1.1666666,59931,69.92,3.66,eyBgT68yQ9,WEARABLE
1636020900000,1636020959999,UTC+0900,2021-11-04 19:15:00,2021-11-04 19:15:59.999,106,0,106,1.2978066,60000,78.62,3.67,eyBgT68yQ9,WEARABLE
1636020960000,1636021019999,UTC+0900,2021-11-04 19:16:00,2021-11-04 19:16:59.999,94,0,94,1.2222222,56560,69.13,3.4,eyBgT68yQ9,WEARABLE
1636021620000,1636021679999,UTC+0900,2021-11-04 19:27:00,2021-11-04 19:27:59.999,54,0,54,1.5277778,20886,31.91,1.71,eyBgT68yQ9,WEARABLE
1636021680000,1636021739999,UTC+0900,2021-11-04 19:28:00,2021-11-04 19:28:59.999,12,5,7,4.4444447,3278,14.57,0.84,eyBgT68yQ9,WEARABLE
1636021800000,1636021859999,UTC+0900,2021-11-04 19:30:00,2021-11-04 19:30:59.999,11,0,11,1.5833334,5349,8.47,0.4,eyBgT68yQ9,WEARABLE
1636021860000,1636021919999,UTC+0900,2021-11-04 19:31:00,2021-11-04 19:31:59.999,7,0,7,1.5,3580,5.37,0.27,eyBgT68yQ9,WEARABLE
1636021920000,1636021979999,UTC+0900,2021-11-04 19:32:00,2021-11-04 19:32:59.999,28,0,28,1.6111112,13239,21.33,1.1,eyBgT68yQ9,WEARABLE
1636022040000,1636022099999,UTC+0900,2021-11-04 19:34:00,2021-11-04 19:34:59.999,12,0,10,0.8611111,9452,8.14,0.58,eyBgT68yQ9,WEARABLE
1636022100000,1636022159999,UTC+0900,2021-11-04 19:35:00,2021-11-04 19:35:59.999,46,0,48,0.88822323,32953,29.27,2.43,eyBgT68yQ9,WEARABLE
1636022160000,1636022219999,UTC+0900,2021-11-04 19:36:00,2021-11-04 19:36:59.999,13,0,13,1.3888888,7113,9.88,0.46,eyBgT68yQ9,WEARABLE
1636024680000,1636024739999,UTC+0900,2021-11-04 20:18:00,2021-11-04 20:18:59.999,16,0,16,1.1388888,10097,11.5,0.57,eyBgT68yQ9,WEARABLE
1636024740000,1636024799999,UTC+0900,2021-11-04 20:19:00,2021-11-04 20:19:59.999,95,0,95,1.3611112,47123,64.14,3.32,eyBgT68yQ9,WEARABLE
1636024800000,1636024859999,UTC+0900,2021-11-04 20:20:00,2021-11-04 20:20:59.999,30,0,27,1.3055556,17257,22.53,0.99,eyBgT68yQ9,WEARABLE
1636027260000,1636027319999,UTC+0900,2021-11-04 21:01:00,2021-11-04 21:01:59.999,15,0,15,1.3888888,8251,11.46,0.56,eyBgT68yQ9,WEARABLE
1636027320000,1636027379999,UTC+0900,2021-11-04 21:02:00,2021-11-04 21:02:59.999,76,0,76,1.1944444,39147,46.76,4.64,eyBgT68yQ9,WEARABLE
1636031340000,1636031399999,UTC+0900,2021-11-04 22:09:00,2021-11-04 22:09:59.999,24,0,24,1.2393672,14194,17.592,0.82,eyBgT68yQ9,WEARABLE
1636031400000,1636031459999,UTC+0900,2021-11-04 22:10:00,2021-11-04 22:10:59.999,26,0,26,1.3888888,15357,21.33,1.12,eyBgT68yQ9,WEARABLE
1636031460000,1636031519999,UTC+0900,2021-11-04 22:11:00,2021-11-04 22:11:59.999,39,0,39,1.3333334,21945,29.26,1.42,eyBgT68yQ9,WEARABLE
1636032300000,1636032359999,UTC+0900,2021-11-04 22:25:00,2021-11-04 22:25:59.999,7,0,7,1.3055556,3961,5.172,0.24,eyBgT68yQ9,WEARABLE
1636033740000,1636033799999,UTC+0900,2021-11-04 22:49:00,2021-11-04 22:49:59.999,12,0,12,1.2222222,7232,8.84,0.43,eyBgT68yQ9,WEARABLE
1636033860000,1636033919999,UTC+0900,2021-11-04 22:51:00,2021-11-04 22:51:59.999,14,0,14,1.25,8040,10.05,0.53,eyBgT68yQ9,WEARABLE
1636034160000,1636034219999,UTC+0900,2021-11-04 22:56:00,2021-11-04 22:56:59.999,56,0,56,1.3333334,31552,42.07,2.05,eyBgT68yQ9,WEARABLE
1636034220000,1636034279999,UTC+0900,2021-11-04 22:57:00,2021-11-04 22:57:59.999,21,0,21,1.1944444,12809,15.3,0.77,eyBgT68yQ9,WEARABLE
1636034880000,1636034939999,UTC+0900,2021-11-04 23:08:00,2021-11-04 23:08:59.999,16,0,16,1.25,9400,11.75,0.59,eyBgT68yQ9,WEARABLE
1636035000000,1636035059999,UTC+0900,2021-11-04 23:10:00,2021-11-04 23:10:59.999,16,0,16,1.1666666,9865,11.51,0.57,eyBgT68yQ9,WEARABLE
1636036020000,1636036079999,UTC+0900,2021-11-04 23:27:00,2021-11-04 23:27:59.999,56,0,56,1.1944444,34091,40.72,1.88,eyBgT68yQ9,WEARABLE
1636036080000,1636036139999,UTC+0900,2021-11-04 23:28:00,2021-11-04 23:28:59.999,55,3,52,1.3055556,31151,40.67,2.14,eyBgT68yQ9,WEARABLE
1636036140000,1636036199999,UTC+0900,2021-11-04 23:29:00,2021-11-04 23:29:59.999,59,0,59,1.1388888,37589,42.81,2.13,eyBgT68yQ9,WEARABLE
1636036200000,1636036259999,UTC+0900,2021-11-04 23:30:00,2021-11-04 23:30:59.999,75,0,75,1.1666666,47031,54.87,2.76,eyBgT68yQ9,WEARABLE
1636036260000,1636036319999,UTC+0900,2021-11-04 23:31:00,2021-11-04 23:31:59.999,12,0,12,1.1388888,7682,8.75,0.46,eyBgT68yQ9,WEARABLE
1636039560000,1636039619999,UTC+0900,2021-11-05 00:26:00,2021-11-05 00:26:59.999,34,0,34,1.25,19832,24.79,1.13,eyBgT68yQ9,WEARABLE
1636042740000,1636042799999,UTC+0900,2021-11-05 01:19:00,2021-11-05 01:19:59.999,16,0,10,0.9722222,11581,11.26,0.6,eyBgT68yQ9,WEARABLE
1636042800000,1636042859999,UTC+0900,2021-11-05 01:20:00,2021-11-05 01:20:59.999,62,0,68,0.8611111,48123,41.44,2.57,eyBgT68yQ9,WEARABLE
1636042860000,1636042919999,UTC+0900,2021-11-05 01:21:00,2021-11-05 01:21:59.999,24,0,24,0.9722222,17362,16.88,0.93,eyBgT68yQ9,WEARABLE
1636042920000,1636042979999,UTC+0900,2021-11-05 01:22:00,2021-11-05 01:22:59.999,11,0,11,0.8611111,8663,7.46,0.43,eyBgT68yQ9,WEARABLE
1636043100000,1636043159999,UTC+0900,2021-11-05 01:25:00,2021-11-05 01:25:59.999,17,0,17,1.0555556,11273,11.9,0.58,eyBgT68yQ9,WEARABLE
1636043160000,1636043219999,UTC+0900,2021-11-05 01:26:00,2021-11-05 01:26:59.999,25,0,25,0.9444444,18614,17.58,0.87,eyBgT68yQ9,WEARABLE
1636043220000,1636043279999,UTC+0900,2021-11-05 01:27:00,2021-11-05 01:27:59.999,26,0,26,0.9166667,20192,18.51,1.02,eyBgT68yQ9,WEARABLE
1636043280000,1636043339999,UTC+0900,2021-11-05 01:28:00,2021-11-05 01:28:59.999,14,0,14,1.1634254,8793,10.23,0.51,eyBgT68yQ9,WEARABLE
1636043340000,1636043399999,UTC+0900,2021-11-05 01:29:00,2021-11-05 01:29:59.999,20,0,20,1.1111112,13023,14.47,0.68,eyBgT68yQ9,WEARABLE
1636043400000,1636043459999,UTC+0900,2021-11-05 01:30:00,2021-11-05 01:30:59.999,65,11,54,1.5597936,33282,51.914,2.89,eyBgT68yQ9,WEARABLE
1636044060000,1636044119999,UTC+0900,2021-11-05 01:41:00,2021-11-05 01:41:59.999,29,0,29,1.0324153,20039,20.689,1.03,eyBgT68yQ9,WEARABLE
1636046640000,1636046699999,UTC+0900,2021-11-05 02:24:00,2021-11-05 02:24:59.999,10,0,10,0.9722222,7086,6.89,0.46,eyBgT68yQ9,WEARABLE
1636046700000,1636046759999,UTC+0900,2021-11-05 02:25:00,2021-11-05 02:25:59.999,35,0,35,1.4444444,18484,26.7,1.17,eyBgT68yQ9,WEARABLE
1636046760000,1636046819999,UTC+0900,2021-11-05 02:26:00,2021-11-05 02:26:59.999,12,0,12,0.8888889,9191,8.17,0.47,eyBgT68yQ9,WEARABLE
1636046820000,1636046879999,UTC+0900,2021-11-05 02:27:00,2021-11-05 02:27:59.999,102,0,102,1.2636666,60000,75.82,3.7,eyBgT68yQ9,WEARABLE
1636046880000,1636046939999,UTC+0900,2021-11-05 02:28:00,2021-11-05 02:28:59.999,145,101,44,2.4845955,60000,149.78,10.31,eyBgT68yQ9,WEARABLE
1636046940000,1636046999999,UTC+0900,2021-11-05 02:29:00,2021-11-05 02:29:59.999,169,169,0,3.3888888,56186,190.41,14.18,eyBgT68yQ9,WEARABLE
1636047000000,1636047059999,UTC+0900,2021-11-05 02:30:00,2021-11-05 02:30:59.999,127,28,99,2.0,54030,108.06,5.7,eyBgT68yQ9,WEARABLE
1636047060000,1636047119999,UTC+0900,2021-11-05 02:31:00,2021-11-05 02:31:59.999,122,0,122,1.5941666,60000,95.65,4.01,eyBgT68yQ9,WEARABLE
1636047120000,1636047179999,UTC+0900,2021-11-05 02:32:00,2021-11-05 02:32:59.999,110,0,110,1.4166666,59336,84.06,3.88,eyBgT68yQ9,WEARABLE
1636047180000,1636047239999,UTC+0900,2021-11-05 02:33:00,2021-11-05 02:33:59.999,111,0,111,1.4226667,60000,85.36,3.98,eyBgT68yQ9,WEARABLE
1636047240000,1636047299999,UTC+0900,2021-11-05 02:34:00,2021-11-05 02:34:59.999,78,0,78,1.3888888,39816,55.3,3.56,eyBgT68yQ9,WEARABLE
1636047300000,1636047359999,UTC+0900,2021-11-05 02:35:00,2021-11-05 02:35:59.999,19,0,19,1.6666666,9006,15.01,0.63,eyBgT68yQ9,WEARABLE
1636071480000,1636071539999,UTC+0900,2021-11-05 09:18:00,2021-11-05 09:18:59.999,33,0,33,2.0,13295,26.59,1.14,eyBgT68yQ9,WEARABLE
1636071540000,1636071599999,UTC+0900,2021-11-05 09:19:00,2021-11-05 09:19:59.999,10,0,10,1.4166666,5378,7.62,0.47,eyBgT68yQ9,WEARABLE
1636071600000,1636071659999,UTC+0900,2021-11-05 09:20:00,2021-11-05 09:20:59.999,103,0,103,1.5,48240,72.36,3.58,eyBgT68yQ9,WEARABLE
1636071660000,1636071719999,UTC+0900,2021-11-05 09:21:00,2021-11-05 09:21:59.999,112,0,112,1.4722222,58666,86.37,3.97,eyBgT68yQ9,WEARABLE
1636071720000,1636071779999,UTC+0900,2021-11-05 09:22:00,2021-11-05 09:22:59.999,90,0,90,1.3888888,49399,68.61,3.25,eyBgT68yQ9,WEARABLE
1636071780000,1636071839999,UTC+0900,2021-11-05 09:23:00,2021-11-05 09:23:59.999,117,0,117,1.5277778,59746,91.28,3.84,eyBgT68yQ9,WEARABLE
1636071840000,1636071899999,UTC+0900,2021-11-05 09:24:00,2021-11-05 09:24:59.999,130,10,120,1.7403333,60000,104.42,4.74,eyBgT68yQ9,WEARABLE
1636071900000,1636071959999,UTC+0900,2021-11-05 09:25:00,2021-11-05 09:25:59.999,124,0,124,1.6666666,58818,98.03,4.64,eyBgT68yQ9,WEARABLE
