START,END,UTC,READABLE_START,READABLE_END,STEP,RUN,WALK,SPEED,DUT,DIST,CAL,DEVICE_UUID,DEVICE_TYPE
1649170860000,1649170920000,UTC+0900,2022-04-06 00:01:00,2022-04-06 00:02:00,10,0,10,1.5833334,4680,7.41,0.24,jOGliGeEvY,WEARABLE
1649197980000,1649198040000,UTC+0900,2022-04-06 07:33:00,2022-04-06 07:34:00,11,0,11,1.1111112,6525,7.25,0.27,jOGliGeEvY,WEARABLE
1649198040000,1649198100000,UTC+0900,2022-04-06 07:34:00,2022-04-06 07:35:00,14,0,14,1.4064156,7195,10.12,0.35000002,PCLN2D3k11,PHONE
1649198100000,1649198160000,UTC+0900,2022-04-06 07:35:00,2022-04-06 07:36:00,21,2,19,1.6666666,10746,17.91,0.73,PCLN2D3k11,PHONE
1649198160000,1649198220000,UTC+0900,2022-04-06 07:36:00,2022-04-06 07:37:00,120,7,72,1.75,44399,77.7,2.75,PCLN2D3k11,PHONE
1649198160000,1649198220000,UTC+0900,2022-04-06 07:36:00,2022-04-06 07:37:00,78,0,78,1.7817106,32356,57.650127,1.8899988,jOGliGeEvY,WEARABLE
1649198220000,1649198280000,UTC+0900,2022-04-06 07:37:00,2022-04-06 07:38:00,139,0,123,1.75,59359,103.88,2.78,PCLN2D3k11,PHONE
1649198220000,1649198280000,UTC+0900,2022-04-06 07:37:00,2022-04-06 07:38:00,138,0,138,1.7222222,59742,102.89,3.08,jOGliGeEvY,WEARABLE
1649198280000,1649198340000,UTC+0900,2022-04-06 07:38:00,2022-04-06 07:39:00,135,0,135,1.6388888,59705,97.85,2.9,jOGliGeEvY,WEARABLE
1649198280000,1649198340000,UTC+0900,2022-04-06 07:38:00,2022-04-06 07:39:00,136,0,136,1.7101667,60000,102.61,2.72,PCLN2D3k11,PHONE
1649198340000,1649198400000,UTC+0900,2022-04-06 07:39:00,2022-04-06 07:40:00,129,0,129,1.5833334,58383,92.44,2.75,jOGliGeEvY,WEARABLE
1649198340000,1649198400000,UTC+0900,2022-04-06 07:39:00,2022-04-06 07:40:00,127,0,50,1.6666666,43746,72.91,2.72,PCLN2D3k11,PHONE
1649198400000,1649198460000,UTC+0900,2022-04-06 07:40:00,2022-04-06 07:41:00,130,0,130,1.6108335,60000,96.65,2.6,PCLN2D3k11,PHONE
1649198400000,1649198460000,UTC+0900,2022-04-06 07:40:00,2022-04-06 07:41:00,129,0,129,1.4971668,60000,89.83,2.58,jOGliGeEvY,WEARABLE
